user_term,brand_name,generic_name,active_ingredient,normalized_name,aliases,language,source,ddinter_id
abacavir,,abacavir,abacavir,abacavir,,,ddinter_dataset,DDInter1
abaloparatide,,abaloparatide,abaloparatide,abaloparatide,,,ddinter_dataset,DDInter2
abametapir topical,,abametapir topical,abametapir topical,abametapir topical,,,ddinter_dataset,DDInter3
abarelix,,abarelix,abarelix,abarelix,,,ddinter_dataset,DDInter4
abatacept,,abatacept,abatacept,abatacept,,,ddinter_dataset,DDInter5
abciximab,,abciximab,abciximab,abciximab,,,ddinter_dataset,DDInter6
abemaciclib,,abemaciclib,abemaciclib,abemaciclib,,,ddinter_dataset,DDInter7
abiraterone,,abiraterone,abiraterone,abiraterone,,,ddinter_dataset,DDInter8
acalabrutinib,,acalabrutinib,acalabrutinib,acalabrutinib,,,ddinter_dataset,DDInter9
acamprosate,,acamprosate,acamprosate,acamprosate,,,ddinter_dataset,DDInter10
acarbose,,acarbose,acarbose,acarbose,,,ddinter_dataset,DDInter11
acebutolol,,acebutolol,acebutolol,acebutolol,,,ddinter_dataset,DDInter12
acenocoumarol,,acenocoumarol,acenocoumarol,acenocoumarol,,,ddinter_dataset,DDInter13
acetaminophen,,acetaminophen,acetaminophen,acetaminophen,,,ddinter_dataset,DDInter14
acetazolamide,,acetazolamide,acetazolamide,acetazolamide,,,ddinter_dataset,DDInter15
acetohexamide,,acetohexamide,acetohexamide,acetohexamide,,,ddinter_dataset,DDInter16
acetylcholine,,acetylcholine,acetylcholine,acetylcholine,,,ddinter_dataset,DDInter18
acetylcysteine,,acetylcysteine,acetylcysteine,acetylcysteine,,,ddinter_dataset,DDInter19
acetylsalicylic acid,,acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,,,ddinter_dataset,DDInter20
acitretin,,acitretin,acitretin,acitretin,,,ddinter_dataset,DDInter21
aclidinium,,aclidinium,aclidinium,aclidinium,,,ddinter_dataset,DDInter22
acrivastine,,acrivastine,acrivastine,acrivastine,,,ddinter_dataset,DDInter23
activated charcoal,,activated charcoal,activated charcoal,activated charcoal,,,ddinter_dataset,DDInter24
acyclovir,,acyclovir,acyclovir,acyclovir,,,ddinter_dataset,DDInter25
adalimumab,,adalimumab,adalimumab,adalimumab,,,ddinter_dataset,DDInter27
adapalene,,adapalene,adapalene,adapalene,,,ddinter_dataset,DDInter28
adefovir dipivoxil,,adefovir dipivoxil,adefovir dipivoxil,adefovir dipivoxil,,,ddinter_dataset,DDInter30
adenosine,,adenosine,adenosine,adenosine,,,ddinter_dataset,DDInter31
afatinib,,afatinib,afatinib,afatinib,,,ddinter_dataset,DDInter32
aflibercept,,aflibercept,aflibercept,aflibercept,,,ddinter_dataset,DDInter33
agalsidase beta,,agalsidase beta,agalsidase beta,agalsidase beta,,,ddinter_dataset,DDInter34
albendazole,,albendazole,albendazole,albendazole,,,ddinter_dataset,DDInter35
albiglutide,,albiglutide,albiglutide,albiglutide,,,ddinter_dataset,DDInter36
alclometasone topical,,alclometasone topical,alclometasone topical,alclometasone topical,,,ddinter_dataset,DDInter37
aldesleukin,,aldesleukin,aldesleukin,aldesleukin,,,ddinter_dataset,DDInter38
alectinib,,alectinib,alectinib,alectinib,,,ddinter_dataset,DDInter39
alefacept,,alefacept,alefacept,alefacept,,,ddinter_dataset,DDInter40
alemtuzumab,,alemtuzumab,alemtuzumab,alemtuzumab,,,ddinter_dataset,DDInter41
alendronic acid,,alendronic acid,alendronic acid,alendronic acid,,,ddinter_dataset,DDInter42
alfentanil,,alfentanil,alfentanil,alfentanil,,,ddinter_dataset,DDInter43
alfuzosin,,alfuzosin,alfuzosin,alfuzosin,,,ddinter_dataset,DDInter44
alimemazine,,alimemazine,alimemazine,alimemazine,,,ddinter_dataset,DDInter45
aliskiren,,aliskiren,aliskiren,aliskiren,,,ddinter_dataset,DDInter46
allopurinol,,allopurinol,allopurinol,allopurinol,,,ddinter_dataset,DDInter48
almotriptan,,almotriptan,almotriptan,almotriptan,,,ddinter_dataset,DDInter49
aloe vera leaf,,aloe vera leaf,aloe vera leaf,aloe vera leaf,,,ddinter_dataset,DDInter50
alogliptin,,alogliptin,alogliptin,alogliptin,,,ddinter_dataset,DDInter51
alosetron,,alosetron,alosetron,alosetron,,,ddinter_dataset,DDInter52
alpelisib,,alpelisib,alpelisib,alpelisib,,,ddinter_dataset,DDInter53
alprazolam,,alprazolam,alprazolam,alprazolam,,,ddinter_dataset,DDInter54
alprostadil,,alprostadil,alprostadil,alprostadil,,,ddinter_dataset,DDInter55
alteplase,,alteplase,alteplase,alteplase,,,ddinter_dataset,DDInter56
altretamine,,altretamine,altretamine,altretamine,,,ddinter_dataset,DDInter57
aluminum hydroxide,,aluminum hydroxide,aluminum hydroxide,aluminum hydroxide,,,ddinter_dataset,DDInter58
alvimopan,,alvimopan,alvimopan,alvimopan,,,ddinter_dataset,DDInter59
amantadine,,amantadine,amantadine,amantadine,,,ddinter_dataset,DDInter60
ambenonium,,ambenonium,ambenonium,ambenonium,,,ddinter_dataset,DDInter61
ambrisentan,,ambrisentan,ambrisentan,ambrisentan,,,ddinter_dataset,DDInter62
amcinonide,,amcinonide,amcinonide,amcinonide,,,ddinter_dataset,DDInter63
amifampridine,,amifampridine,amifampridine,amifampridine,,,ddinter_dataset,DDInter64
amifostine,,amifostine,amifostine,amifostine,,,ddinter_dataset,DDInter65
amikacin,,amikacin,amikacin,amikacin,,,ddinter_dataset,DDInter66
amikacin liposome,,amikacin liposome,amikacin liposome,amikacin liposome,,,ddinter_dataset,DDInter67
amiloride,,amiloride,amiloride,amiloride,,,ddinter_dataset,DDInter68
aminobenzoic acid,,aminobenzoic acid,aminobenzoic acid,aminobenzoic acid,,,ddinter_dataset,DDInter69
aminocaproic acid,,aminocaproic acid,aminocaproic acid,aminocaproic acid,,,ddinter_dataset,DDInter70
