normalized,variants
naltrexone,"[""Naltrexone""]"
abacavir,"[""Abacavir""]"
orlistat,"[""Orlistat""]"
aluminum hydroxide,"[""Aluminum hydroxide""]"
dolutegravir,"[""Dolutegravir""]"
aprepitant,"[""Aprepitant""]"
attapulgite,"[""Attapulgite""]"
calcium acetate,"[""Calcium acetate""]"
calcium carbonate,"[""Calcium carbonate""]"
calcium citrate,"[""Calcium citrate""]"
calcium glubionate anhydrous,"[""Calcium glubionate anhydrous""]"
calcium gluconate,"[""Calcium gluconate""]"
calcium lactate,"[""Calcium lactate""]"
calcium phosphate,"[""Calcium Phosphate""]"
iron,"[""Iron""]"
cimetidine,"[""Cimetidine""]"
clarithromycin,"[""Clarithromycin""]"
clotrimazole,"[""Clotrimazole""]"
dexamethasone,"[""Dexamethasone""]"
kaolin,"[""Kaolin""]"
lamivudine,"[""Lamivudine""]"
lactitol,"[""Lactitol""]"
magaldrate,"[""Magaldrate""]"
magnesium carbonate,"[""Magnesium carbonate""]"
magnesium chloride,"[""Magnesium chloride""]"
magnesium citrate,"[""Magnesium citrate""]"
magnesium gluconate,"[""Magnesium gluconate""]"
magnesium hydroxide,"[""Magnesium hydroxide""]"
magnesium oxide,"[""Magnesium oxide""]"
magnesium sulfate,"[""Magnesium sulfate""]"
mannitol,"[""Mannitol""]"
metformin,"[""Metformin""]"
miconazole,"[""Miconazole""]"
sorbitol,"[""Sorbitol""]"
sucralfate,"[""Sucralfate""]"
troglitazone,"[""Troglitazone""]"
zidovudine,"[""Zidovudine""]"
amphotericin b,"[""Amphotericin B""]"
amphotericin b cholesteryl sulfate,"[""Amphotericin B (cholesteryl sulfate)""]"
amphotericin b lipid complex,"[""Amphotericin B (lipid complex)""]"
betamethasone,"[""Betamethasone""]"
budesonide,"[""Budesonide""]"
hydrocortisone,"[""Hydrocortisone""]"
prednisolone,"[""Prednisolone""]"
prednisone,"[""Prednisone""]"
rosuvastatin,"[""Rosuvastatin""]"
simvastatin,"[""Simvastatin""]"
triamcinolone,"[""Triamcinolone""]"
calcitriol topical,"[""Calcitriol (topical)""]"
abaloparatide,"[""Abaloparatide""]"
alosetron,"[""Alosetron""]"
abametapir topical,"[""Abametapir (topical)""]"
bupropion,"[""Bupropion""]"
cisapride,"[""Cisapride""]"
dexlansoprazole,"[""Dexlansoprazole""]"
dolasetron,"[""Dolasetron""]"
dronabinol,"[""Dronabinol""]"
eliglustat,"[""Eliglustat""]"
esomeprazole,"[""Esomeprazole""]"
glyburide,"[""Glyburide""]"
granisetron,"[""Granisetron""]"
lansoprazole,"[""Lansoprazole""]"
linagliptin,"[""Linagliptin""]"
naldemedine,"[""Naldemedine""]"
naloxegol,"[""Naloxegol""]"
nateglinide,"[""Nateglinide""]"
nitisinone,"[""Nitisinone""]"
omeprazole,"[""Omeprazole""]"
ondansetron,"[""Ondansetron""]"
pantoprazole,"[""Pantoprazole""]"
pioglitazone,"[""Pioglitazone""]"
rabeprazole,"[""Rabeprazole""]"
repaglinide,"[""Repaglinide""]"
rolapitant,"[""Rolapitant""]"
saxagliptin,"[""Saxagliptin""]"
sibutramine,"[""Sibutramine""]"
tinidazole,"[""Tinidazole""]"
abatacept,"[""Abatacept""]"
zinc acetate,"[""Zinc acetate""]"
zinc gluconate,"[""Zinc gluconate""]"
zinc sulfate,"[""Zinc sulfate""]"
abciximab,"[""Abciximab""]"
acetylsalicylic acid,"[""Acetylsalicylic acid""]"
dexfenfluramine,"[""Dexfenfluramine""]"
fenfluramine,"[""Fenfluramine""]"
abemaciclib,"[""Abemaciclib""]"
metreleptin,"[""Metreleptin""]"
abiraterone,"[""Abiraterone""]"
bisacodyl,"[""Bisacodyl""]"
castor oil,"[""Castor oil""]"
eluxadoline,"[""Eluxadoline""]"
famotidine,"[""Famotidine""]"
glycerin,"[""Glycerin""]"
lactulose,"[""Lactulose""]"
levofloxacin,"[""Levofloxacin""]"
loperamide,"[""Loperamide""]"
metoclopramide,"[""Metoclopramide""]"
metronidazole,"[""Metronidazole""]"
mineral oil,"[""Mineral oil""]"
palonosetron,"[""Palonosetron""]"
papaverine,"[""Papaverine""]"
phenolphthalein,"[""Phenolphthalein""]"
polyethylene glycol 3350,"[""Polyethylene glycol (3350)""]"
polyethylene glycol 3350 with electrolytes,"[""Polyethylene glycol (3350 with electrolytes)""]"
rosiglitazone,"[""Rosiglitazone""]"
botulinum toxin type a,"[""Botulinum toxin type A""]"
atropine,"[""Atropine""]"
clidinium,"[""Clidinium""]"
dicyclomine,"[""Dicyclomine""]"
glycopyrronium,"[""Glycopyrronium""]"
hyoscyamine,"[""Hyoscyamine""]"
kanamycin,"[""Kanamycin""]"
mepenzolate,"[""Mepenzolate""]"
methscopolamine,"[""Methscopolamine""]"
neomycin,"[""Neomycin""]"
